127.0.0.1 - - [29/May/2024:17:53:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/May/2024:17:53:21 +0700] "GET /WebCosmeticShop/ HTTP/1.1" 200 4948
0:0:0:0:0:0:0:1 - - [29/May/2024:17:53:21 +0700] "GET /WebCosmeticShop/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:53:21 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:53:21 +0700] "GET /WebCosmeticShop/assets/css/style.css HTTP/1.1" 200 22642
0:0:0:0:0:0:0:1 - - [29/May/2024:17:53:21 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:17:53:21 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "POST /WebCosmeticShop/checkLoginAdminServlet HTTP/1.1" 200 33954
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/img/product-2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/img/product-3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/img/product-1.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/img/product-5.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:27 +0700] "GET /WebCosmeticShop/assets/img/product-4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:32 +0700] "GET /WebCosmeticShop/ShowOrderListServlet HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:32 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:32 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:32 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:35 +0700] "GET /WebCosmeticShop/ShowProfileServlet HTTP/1.1" 200 23818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:35 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:35 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:35 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:35 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:36 +0700] "GET /WebCosmeticShop/ShowDashBoardServlet HTTP/1.1" 200 33954
0:0:0:0:0:0:0:1 - - [29/May/2024:17:55:36 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
