127.0.0.1 - - [25/Jun/2024:21:35:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:35:57 +0700] "GET /WebCosmticShopUser/ HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:35:57 +0700] "GET /WebCosmticShopUser/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:35:57 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:35:59 +0700] "GET /WebCosmticShopUser/ShowProductListServlet HTTP/1.1" 200 14098
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:00 +0700] "GET /WebCosmticShopUser/ShowProductDetailServlet?productGroupID=NS0001%20%20%20%20&productID=SP0001 HTTP/1.1" 200 24022
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:01 +0700] "POST /WebCosmticShopUser/AddToCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:01 +0700] "GET /WebCosmticShopUser/login.jsp HTTP/1.1" 200 3748
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:08 +0700] "GET /WebCosmticShopUser/ShowCartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:08 +0700] "GET /WebCosmticShopUser/login.jsp?error=1 HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:13 +0700] "POST /WebCosmticShopUser/CheckLoginServlet HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:20 +0700] "POST /WebCosmticShopUser/CheckLoginServlet HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:21 +0700] "POST /WebCosmticShopUser/CheckLoginServlet HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [25/Jun/2024:21:36:43 +0700] "POST /WebCosmticShopUser/CheckLoginServlet HTTP/1.1" 200 6413
